"datenumber"	"yyyymmdd"
825	20050915
826	20050916
827	20050919
828	20050920
829	20050921
830	20050922
831	20050923
832	20050926
833	20050927
834	20050928
835	20050929
836	20050930
837	20051003
838	20051004
839	20051005
840	20051006
841	20051007
842	20051011
843	20051012
844	20051013
845	20051014
846	20051017
847	20051018
848	20051019
849	20051020
850	20051021
851	20051024
852	20051025
853	20051026
854	20051027
855	20051028
856	20051031
857	20051101
858	20051102
859	20051103
860	20051104
861	20051107
862	20051108
863	20051109
864	20051110
865	20051114
866	20051115
867	20051116
868	20051117
869	20051118
870	20051121
871	20051122
872	20051123
873	20051125
874	20051128
875	20051129
876	20051130
877	20051201
878	20051202
879	20051205
880	20051206
881	20051207
882	20051208
883	20051209
884	20051212
885	20051213
886	20051214
887	20051215
888	20051216
889	20051219
890	20051220
891	20051221
892	20051222
893	20051223
894	20051227
895	20051228
896	20051229
897	20051230
898	20060103
899	20060104
900	20060105
901	20060106
902	20060109
903	20060110
904	20060111
905	20060112
906	20060113
907	20060117
908	20060118
909	20060119
910	20060120
911	20060123
912	20060124
913	20060125
914	20060126
915	20060127
916	20060130
917	20060131
918	20060201
919	20060202
920	20060203
921	20060206
922	20060207
923	20060208
924	20060209
925	20060210
926	20060213
927	20060214
928	20060215
929	20060216
930	20060217
931	20060221
932	20060222
933	20060223
934	20060224
935	20060227
936	20060228
937	20060301
938	20060302
939	20060303
940	20060306
941	20060307
942	20060308
943	20060309
944	20060310
945	20060313
946	20060314
947	20060315
948	20060316
949	20060317
950	20060320
951	20060321
952	20060322
953	20060323
954	20060324
955	20060327
956	20060328
957	20060329
958	20060330
959	20060331
960	20060403
961	20060404
962	20060405
963	20060406
964	20060407
965	20060410
966	20060411
967	20060412
968	20060413
969	20060417
970	20060418
971	20060419
972	20060420
973	20060421
974	20060424
975	20060425
976	20060426
977	20060427
978	20060428
979	20060501
980	20060502
981	20060503
982	20060504
983	20060505
984	20060508
985	20060509
986	20060510
987	20060511
988	20060512
989	20060515
990	20060516
991	20060517
992	20060518
993	20060519
994	20060522
995	20060523
996	20060524
997	20060525
998	20060526
999	20060530
1000	20060531
1001	20060601
1002	20060602
1003	20060605
1004	20060606
1005	20060607
1006	20060608
1007	20060609
1008	20060612
1009	20060613
1010	20060614
1011	20060615
1012	20060616
1013	20060619
1014	20060620
1015	20060621
1016	20060622
1017	20060623
1018	20060626
1019	20060627
1020	20060628
1021	20060629
1022	20060630
1023	20060703
1024	20060705
1025	20060706
1026	20060707
1027	20060710
1028	20060711
1029	20060712
1030	20060713
1031	20060714
1032	20060717
1033	20060718
1034	20060719
1035	20060720
1036	20060721
1037	20060724
1038	20060725
1039	20060726
1040	20060727
1041	20060728
1042	20060731
1043	20060801
1044	20060802
1045	20060803
1046	20060804
1047	20060807
1048	20060808
1049	20060809
1050	20060810
1051	20060811
1052	20060814
1053	20060815
1054	20060816
1055	20060817
1056	20060818
1057	20060821
1058	20060822
1059	20060823
1060	20060824
1061	20060825
1062	20060828
1063	20060829
1064	20060830
1065	20060831
1066	20060901
1067	20060905
1068	20060906
1069	20060907
1070	20060908
1071	20060911
1072	20060912
1073	20060913
1074	20060914
1075	20060915
1076	20060918
1077	20060919
1078	20060920
1079	20060921
1080	20060922
1081	20060925
1082	20060926
1083	20060927
1084	20060928
1085	20060929
1086	20061002
1087	20061003
1088	20061004
1089	20061005
1090	20061006
1091	20061010
1092	20061011
1093	20061012
1094	20061013
1095	20061016
1096	20061017
1097	20061018
1098	20061019
1099	20061020
1100	20061023
1101	20061024
1102	20061025
1103	20061026
1104	20061027
1105	20061030
1106	20061031
1107	20061101
1108	20061102
1109	20061103
1110	20061106
1111	20061107
1112	20061108
1113	20061109
1114	20061110
1115	20061113
1116	20061114
1117	20061115
1118	20061116
1119	20061117
1120	20061120
1121	20061121
1122	20061122
1123	20061124
1124	20061127
1125	20061128
1126	20061129
1127	20061130
1128	20061201
1129	20061204
1130	20061205
1131	20061206
1132	20061207
1133	20061208
1134	20061211
1135	20061212
1136	20061213
1137	20061214
1138	20061215
1139	20061218
1140	20061219
1141	20061220
1142	20061221
1143	20061222
1144	20061226
1145	20061227
1146	20061228
1147	20061229
1148	20070102
1149	20070103
1150	20070104
1151	20070105
1152	20070108
1153	20070109
1154	20070110
1155	20070111
1156	20070112
1157	20070116
1158	20070117
1159	20070118
1160	20070119
1161	20070122
1162	20070123
1163	20070124
1164	20070125
1165	20070126
1166	20070129
1167	20070130
1168	20070131
1169	20070201
1170	20070202
1171	20070205
1172	20070206
1173	20070207
1174	20070208
1175	20070209
1176	20070212
1177	20070213
1178	20070214
1179	20070215
1180	20070216
1181	20070220
1182	20070221
1183	20070222
1184	20070223
1185	20070226
1186	20070227
1187	20070228
1188	20070301
1189	20070302
1190	20070305
1191	20070306
1192	20070307
1193	20070308
1194	20070309
1195	20070312
1196	20070313
1197	20070314
1198	20070315
1199	20070316
1200	20070319
1201	20070320
1202	20070321
1203	20070322
1204	20070323
1205	20070326
1206	20070327
1207	20070328
1208	20070329
1209	20070330
1210	20070402
1211	20070403
1212	20070404
1213	20070405
1214	20070406
1215	20070409
1216	20070410
1217	20070411
1218	20070412
1219	20070413
1220	20070416
1221	20070417
1222	20070418
1223	20070419
1224	20070420
1225	20070423
1226	20070424
1227	20070425
1228	20070426
1229	20070427
1230	20070430
1231	20070501
1232	20070502
1233	20070503
1234	20070504
1235	20070507
1236	20070508
1237	20070509
1238	20070510
1239	20070511
1240	20070514
1241	20070515
1242	20070516
1243	20070517
1244	20070518
1245	20070521
1246	20070522
1247	20070523
1248	20070524
1249	20070525
1250	20070529
1251	20070530
1252	20070531
1253	20070601
1254	20070604
1255	20070605
1256	20070606
1257	20070607
1258	20070608
1259	20070611
1260	20070612
1261	20070613
1262	20070614
1263	20070615
1264	20070618
1265	20070619
1266	20070620
1267	20070621
1268	20070622
1269	20070625
1270	20070626
1271	20070627
1272	20070628
1273	20070629
1274	20070702
1275	20070703
1276	20070705
1277	20070706
1278	20070709
1279	20070710
1280	20070711
1281	20070712
1282	20070713
1283	20070716
1284	20070717
1285	20070718
1286	20070719
1287	20070720
1288	20070723
1289	20070724
1290	20070725
1291	20070726
1292	20070727
1293	20070730
1294	20070731
1295	20070801
1296	20070802
1297	20070803
1298	20070806
1299	20070807
1300	20070808
1301	20070809
1302	20070810
1303	20070813
1304	20070814
1305	20070815
1306	20070816
1307	20070817
1308	20070820
1309	20070821
1310	20070822
1311	20070823
1312	20070824
1313	20070827
1314	20070828
1315	20070829
1316	20070830
1317	20070831
1318	20070904
1319	20070905
1320	20070906
1321	20070907
1322	20070910
1323	20070911
1324	20070912
1325	20070913
1326	20070914
