"","dt","SIC_CODE","investment_Barc","percent_investment_Barc","investment_BofA","percent_investment_BofA","junk_Barc","percent_junk_Barc","junk_BofA","percent_junk_BofA","distressed_Barc","percent_distressed_Barc","distressed_BofA","percent_distressed_BofA"
"78",2003-03-31,6021,0,0,0,0,75403817,1,66789817,1,0,0,0,0
"79",2003-03-31,6712,50000,0.01953125,50000,0.0223478169535009,0,0,0,0,0,0,0,0
"80",2003-03-31,8063,350000,0.13671875,350000,0.156434718674506,0,0,0,0,0,0,0,0
"81",2003-04-30,1311,0,0,0,0,0,NA,0,NA,0,0,0,0
"82",2003-04-30,2670,0,0,0,0,0,NA,0,NA,350000,0.0122275757265992,350000,0.0109132170689076
"83",2003-04-30,3296,1e+05,0.0125407574617507,1e+05,0.0155043567242395,0,NA,0,NA,0,0,0,0
"84",2003-04-30,3711,0,0,0,0,0,NA,0,NA,25373826,0.886458225395864,30621203,0.954788100714526
"85",2003-04-30,4813,7874000,0.987459242538249,6349800,0.98449564327576,0,NA,0,NA,0,0,0,0
"86",2003-04-30,5172,0,0,0,0,0,NA,0,NA,0,0,0,0
"87",2003-04-30,6162,0,0,0,0,0,NA,0,NA,2e+05,0.00698718612948528,2e+05,0.00623612403937576
"88",2003-04-30,7373,0,0,0,0,0,NA,0,NA,2700000,0.0943270127480512,9e+05,0.0280625581771909
"89",2003-05-30,2211,3e+05,0.144578313253012,3e+05,0.17910447761194,0,0,0,0,0,0,0,0
"90",2003-05-30,2879,850000,0.409638554216867,750000,0.447761194029851,0,0,0,0,0,0,0,0
"91",2003-05-30,3579,0,0,0,0,350000,0.972222222222222,350000,0.972222222222222,0,0,0,0
"92",2003-05-30,4412,6e+05,0.289156626506024,3e+05,0.17910447761194,0,0,0,0,0,0,0,0
"93",2003-05-30,4941,0,0,0,0,0,0,0,0,25000,1,25000,1
"94",2003-05-30,6021,1e+05,0.0481927710843374,1e+05,0.0597014925373134,0,0,0,0,0,0,0,0
"95",2003-05-30,6730,0,0,0,0,10000,0.0277777777777778,10000,0.0277777777777778,0,0,0,0
"96",2003-05-30,8092,225000,0.108433734939759,225000,0.134328358208955,0,0,0,0,0,0,0,0
"97",2003-06-30,2241,175000,0.127272727272727,175000,0.0958904109589041,0,0,0,0,0,0,0,0
"98",2003-06-30,2890,0,0,0,0,0,0,0,0,342000,0.0764758497316637,342000,0.0784943768648152
"99",2003-06-30,3580,0,0,0,0,150000,0.186149485482822,150000,0.0457205280903877,0,0,0,0
"100",2003-06-30,4512,0,0,0,0,655804,0.813850514517178,3130802,0.954279471909612,0,0,0,0
"101",2003-06-30,4953,0,0,0,0,0,0,0,0,1050000,0.23479427549195,1050000,0.240991507918292
"102",2003-06-30,6022,0,0,0,0,0,0,0,0,2980000,0.666368515205724,2865000,0.657562543034198
"103",2003-06-30,6798,1200000,0.872727272727273,1650000,0.904109589041096,0,0,0,0,0,0,0,0
"104",2003-06-30,8221,0,0,0,0,0,0,0,0,1e+05,0.0223613595706619,1e+05,0.0229515721826945
"105",2003-07-31,1381,990000,0.317817014446228,990000,0.317817014446228,0,NA,0,NA,0,0,0,0
"106",2003-07-31,2711,5e+05,0.160513643659711,5e+05,0.160513643659711,0,NA,0,NA,0,0,0,0
"107",2003-07-31,3331,1150000,0.369181380417335,1150000,0.369181380417335,0,NA,0,NA,0,0,0,0
"108",2003-07-31,3720,0,0,0,0,0,NA,0,NA,1278000,0.35738255033557,1278000,0.418879056047198
"109",2003-07-31,4833,1e+05,0.0321027287319422,1e+05,0.0321027287319422,0,NA,0,NA,0,0,0,0
"110",2003-07-31,5211,0,0,0,0,0,NA,0,NA,1573000,0.439876957494407,1573000,0.515568666011144
"111",2003-07-31,6211,0,0,0,0,0,NA,0,NA,725000,0.202740492170022,2e+05,0.0655522779416585
"112",2003-07-31,7389,375000,0.120385232744783,375000,0.120385232744783,0,NA,0,NA,0,0,0,0
"113",2003-08-29,1400,0,0,0,0,775000,1,775000,1,0,0,0,0
"114",2003-08-29,2731,1e+05,0.0836820083682008,1e+05,0.0426439232409382,0,0,0,0,0,0,0,0
"115",2003-08-29,3357,0,0,0,0,0,0,0,0,0,0,0,0
"116",2003-08-29,3724,675000,0.564853556485356,675000,0.287846481876333,0,0,0,0,0,0,0,0
"117",2003-08-29,4841,195000,0.163179916317992,1345000,0.573560767590618,0,0,0,0,0,0,0,0
"118",2003-08-29,5311,0,0,0,0,0,0,0,0,7002750,0.9622135962351,7002750,0.9622135962351
